,ward_code,year,ward_name,borough,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+
0,E05009288,2002,Aldersgate,City of London,1571,91,87,352,262,309,216,254
1,E05009288,2003,Aldersgate,City of London,1578,93,84,364,248,298,238,253
2,E05009288,2004,Aldersgate,City of London,1559,93,80,335,260,285,247,259
3,E05009288,2005,Aldersgate,City of London,1461,86,57,310,240,243,271,254
4,E05009288,2006,Aldersgate,City of London,1474,84,53,297,266,240,269,265
5,E05009288,2007,Aldersgate,City of London,1538,102,75,279,297,244,281,260
6,E05009288,2008,Aldersgate,City of London,1504,99,76,262,285,236,281,265
7,E05009288,2009,Aldersgate,City of London,1515,102,71,289,271,229,274,279
8,E05009288,2010,Aldersgate,City of London,1450,109,39,297,249,217,272,267
9,E05009288,2011,Aldersgate,City of London,1472,124,70,289,226,222,266,275
10,E05009288,2012,Aldersgate,City of London,1469,144,64,252,248,227,240,294
11,E05009288,2013,Aldersgate,City of London,1906,186,117,337,295,283,273,415
12,E05009288,2014,Aldersgate,City of London,1960,213,74,352,314,293,278,436
13,E05009288,2015,Aldersgate,City of London,2372,271,92,421,360,366,330,532
14,E05009292,2002,Bishopsgate,City of London,228,17,11,84,33,35,35,13
15,E05009292,2003,Bishopsgate,City of London,184,10,11,81,21,23,30,8
16,E05009292,2004,Bishopsgate,City of London,186,8,6,79,23,25,33,12
17,E05009292,2005,Bishopsgate,City of London,180,4,15,72,20,27,29,13
18,E05009292,2006,Bishopsgate,City of London,174,5,8,90,15,23,23,10
19,E05009292,2007,Bishopsgate,City of London,212,9,17,104,27,24,24,7
20,E05009292,2008,Bishopsgate,City of London,174,6,11,80,25,18,27,7
21,E05009292,2009,Bishopsgate,City of London,177,9,12,79,23,27,24,3
22,E05009292,2010,Bishopsgate,City of London,199,9,17,84,30,30,23,6
23,E05009292,2011,Bishopsgate,City of London,226,7,24,102,44,25,21,3
24,E05009292,2012,Bishopsgate,City of London,245,11,38,98,45,33,16,4
25,E05009292,2013,Bishopsgate,City of London,210,8,32,87,36,23,20,4
26,E05009292,2014,Bishopsgate,City of London,211,8,28,90,37,27,16,5
27,E05009292,2015,Bishopsgate,City of London,226,12,27,95,49,25,13,5
28,E05009302,2002,Cripplegate,City of London,2999,260,208,683,498,476,378,496
29,E05009302,2003,Cripplegate,City of London,2907,256,201,620,516,474,369,471
30,E05009302,2004,Cripplegate,City of London,2885,248,193,605,556,439,381,463
31,E05009302,2005,Cripplegate,City of London,2938,241,186,620,595,423,404,469
32,E05009302,2006,Cripplegate,City of London,2954,244,169,605,629,403,426,478
33,E05009302,2007,Cripplegate,City of London,3069,258,198,587,687,417,424,498
34,E05009302,2008,Cripplegate,City of London,2916,235,180,517,642,429,395,518
35,E05009302,2009,Cripplegate,City of London,2888,252,167,515,635,443,352,524
36,E05009302,2010,Cripplegate,City of London,2780,278,132,476,570,448,369,507
37,E05009302,2011,Cripplegate,City of London,2786,281,166,483,506,449,370,531
38,E05009302,2012,Cripplegate,City of London,2890,333,185,462,521,452,379,558
39,E05009302,2013,Cripplegate,City of London,2380,299,71,339,414,416,336,505
40,E05009302,2014,Cripplegate,City of London,2446,312,60,343,400,441,350,540
41,E05009302,2015,Cripplegate,City of London,2377,323,76,338,368,427,313,532
42,E05009304,2002,Farringdon Within,City of London,208,46,9,67,25,35,19,7
43,E05009304,2003,Farringdon Within,City of London,192,39,5,66,33,27,16,6
44,E05009304,2004,Farringdon Within,City of London,218,48,7,74,30,30,22,7
45,E05009304,2005,Farringdon Within,City of London,244,61,0,79,45,24,27,8
46,E05009304,2006,Farringdon Within,City of London,245,52,4,71,45,33,31,9
47,E05009304,2007,Farringdon Within,City of London,205,37,6,58,40,33,24,7
48,E05009304,2008,Farringdon Within,City of London,222,44,9,62,38,30,26,13
49,E05009304,2009,Farringdon Within,City of London,226,51,10,53,39,27,35,11
50,E05009304,2010,Farringdon Within,City of London,256,56,22,56,40,29,36,17
51,E05009304,2011,Farringdon Within,City of London,278,50,36,74,48,29,27,14
52,E05009304,2012,Farringdon Within,City of London,321,49,33,85,66,39,32,17
53,E05009304,2013,Farringdon Within,City of London,285,47,9,72,60,46,30,21
54,E05009304,2014,Farringdon Within,City of London,287,49,12,68,63,46,33,16
55,E05009304,2015,Farringdon Within,City of London,333,51,25,91,58,56,39,13
56,E05009305,2002,Farringdon Without,City of London,947,22,120,399,156,123,81,46
57,E05009305,2003,Farringdon Without,City of London,944,32,116,375,163,117,84,57
58,E05009305,2004,Farringdon Without,City of London,949,34,124,357,169,131,86,48
59,E05009305,2005,Farringdon Without,City of London,1006,29,147,367,167,148,87,61
60,E05009305,2006,Farringdon Without,City of London,1028,32,148,389,180,136,99,44
61,E05009305,2007,Farringdon Without,City of London,1104,33,156,420,209,141,98,47
62,E05009305,2008,Farringdon Without,City of London,1186,37,132,479,203,159,112,64
63,E05009305,2009,Farringdon Without,City of London,1187,27,148,502,181,160,105,64
64,E05009305,2010,Farringdon Without,City of London,1163,35,143,464,197,154,99,71
65,E05009305,2011,Farringdon Without,City of London,1112,29,151,397,173,157,126,79
66,E05009305,2012,Farringdon Without,City of London,1120,46,122,424,176,142,128,82
67,E05009305,2013,Farringdon Without,City of London,1155,51,107,436,169,169,129,94
68,E05009305,2014,Farringdon Without,City of London,1237,66,137,439,162,181,160,92
69,E05009305,2015,Farringdon Without,City of London,1345,82,153,496,166,168,186,94
70,E05009308,2002,Portsoken,City of London,1103,235,119,236,188,100,92,133
71,E05009308,2003,Portsoken,City of London,1055,203,100,241,169,97,112,133
72,E05009308,2004,Portsoken,City of London,1031,202,84,235,177,100,98,135
73,E05009308,2005,Portsoken,City of London,1025,191,65,243,179,115,107,125
74,E05009308,2006,Portsoken,City of London,1080,201,74,278,174,123,98,132
75,E05009308,2007,Portsoken,City of London,1119,201,103,292,165,132,102,124
76,E05009308,2008,Portsoken,City of London,1047,187,97,260,159,125,101,118
77,E05009308,2009,Portsoken,City of London,1098,167,103,290,162,132,113,131
78,E05009308,2010,Portsoken,City of London,1059,174,114,242,159,126,104,140
79,E05009308,2011,Portsoken,City of London,987,180,116,199,137,128,99,128
80,E05009308,2012,Portsoken,City of London,1014,189,108,208,138,137,101,133
81,E05009308,2013,Portsoken,City of London,1172,210,164,268,131,145,105,149
82,E05009308,2014,Portsoken,City of London,1356,269,183,297,155,181,110,161
83,E05009308,2015,Portsoken,City of London,1503,311,249,327,157,196,110,153
84,E05009309,2002,Queenhithe,City of London,150,4,12,58,25,24,18,9
85,E05009309,2003,Queenhithe,City of London,155,9,6,61,18,27,24,10
86,E05009309,2004,Queenhithe,City of London,175,9,8,66,27,20,30,15
87,E05009309,2005,Queenhithe,City of London,162,8,4,73,25,16,26,10
88,E05009309,2006,Queenhithe,City of London,175,12,11,67,23,18,29,15
89,E05009309,2007,Queenhithe,City of London,206,11,13,76,30,26,32,18
90,E05009309,2008,Queenhithe,City of London,226,14,10,94,34,24,34,16
91,E05009309,2009,Queenhithe,City of London,238,13,12,93,35,29,37,19
92,E05009309,2010,Queenhithe,City of London,264,12,25,88,42,31,42,24
93,E05009309,2011,Queenhithe,City of London,323,4,45,152,50,28,27,17
94,E05009309,2012,Queenhithe,City of London,312,10,25,148,43,43,29,14
95,E05009309,2013,Queenhithe,City of London,316,16,25,143,54,39,29,10
96,E05009309,2014,Queenhithe,City of London,371,28,33,156,59,38,36,21
97,E05009309,2015,Queenhithe,City of London,386,31,46,153,61,47,28,20
98,E05009310,2002,Tower,City of London,74,3,7,33,13,8,10,0
99,E05009310,2003,Tower,City of London,100,3,1,51,18,8,14,5
100,E05009310,2004,Tower,City of London,115,4,1,56,23,14,12,5
101,E05009310,2005,Tower,City of London,115,4,2,44,38,13,8,6
102,E05009310,2006,Tower,City of London,124,6,5,45,34,19,10,5
103,E05009310,2007,Tower,City of London,154,7,8,58,39,25,12,5
104,E05009310,2008,Tower,City of London,154,7,4,49,40,28,17,9
105,E05009310,2009,Tower,City of London,143,5,10,48,32,24,15,9
106,E05009310,2010,Tower,City of London,167,5,13,68,35,23,16,7
107,E05009310,2011,Tower,City of London,228,9,27,93,44,35,16,4
108,E05009310,2012,Tower,City of London,233,11,25,98,48,29,18,4
109,E05009310,2013,Tower,City of London,224,12,10,105,37,34,22,4
110,E05009310,2014,Tower,City of London,204,10,9,93,37,27,23,5
111,E05009310,2015,Tower,City of London,218,9,18,84,32,38,26,11
112,E05000026,2002,Abbey,Barking and Dagenham,10698,2822,1293,2267,1756,1119,663,778
113,E05000026,2003,Abbey,Barking and Dagenham,10519,2817,1276,2177,1748,1099,639,763
114,E05000026,2004,Abbey,Barking and Dagenham,10412,2678,1357,2133,1711,1076,674,783
115,E05000026,2005,Abbey,Barking and Dagenham,10349,2651,1317,2189,1696,1079,659,758
116,E05000026,2006,Abbey,Barking and Dagenham,10239,2642,1247,2198,1687,1047,681,737
117,E05000026,2007,Abbey,Barking and Dagenham,10373,2752,1185,2310,1721,1025,672,708
118,E05000026,2008,Abbey,Barking and Dagenham,10774,2809,1185,2594,1734,1026,709,717
119,E05000026,2009,Abbey,Barking and Dagenham,10853,2965,1150,2679,1672,1012,695,680
120,E05000026,2010,Abbey,Barking and Dagenham,12072,3231,1390,3128,1869,1069,704,681
121,E05000026,2011,Abbey,Barking and Dagenham,13002,3445,1542,3538,2004,1133,692,648
122,E05000026,2012,Abbey,Barking and Dagenham,13532,3669,1467,3687,2139,1176,711,683
123,E05000026,2013,Abbey,Barking and Dagenham,13303,3751,1297,3616,2117,1165,686,671
124,E05000026,2014,Abbey,Barking and Dagenham,13757,3918,1274,3645,2260,1250,720,690
125,E05000026,2015,Abbey,Barking and Dagenham,14179,4182,1159,3583,2395,1363,766,731
126,E05000027,2002,Alibon,Barking and Dagenham,9327,2430,740,1312,1565,1033,811,1436
127,E05000027,2003,Alibon,Barking and Dagenham,9236,2382,837,1263,1560,1017,764,1413
128,E05000027,2004,Alibon,Barking and Dagenham,9147,2365,813,1220,1524,1077,799,1349
129,E05000027,2005,Alibon,Barking and Dagenham,9187,2402,832,1260,1519,1097,775,1302
130,E05000027,2006,Alibon,Barking and Dagenham,9236,2526,842,1214,1519,1145,766,1224
131,E05000027,2007,Alibon,Barking and Dagenham,9539,2673,851,1278,1590,1173,774,1200
132,E05000027,2008,Alibon,Barking and Dagenham,9786,2829,874,1357,1596,1223,753,1154
133,E05000027,2009,Alibon,Barking and Dagenham,10222,2962,938,1483,1642,1281,807,1109
134,E05000027,2010,Alibon,Barking and Dagenham,10420,3072,934,1586,1636,1328,785,1079
135,E05000027,2011,Alibon,Barking and Dagenham,10462,3077,957,1556,1627,1383,780,1082
136,E05000027,2012,Alibon,Barking and Dagenham,10674,3150,992,1552,1663,1434,800,1083
137,E05000027,2013,Alibon,Barking and Dagenham,10707,3228,938,1517,1627,1458,846,1093
138,E05000027,2014,Alibon,Barking and Dagenham,11102,3338,992,1564,1680,1541,880,1107
139,E05000027,2015,Alibon,Barking and Dagenham,11007,3245,971,1549,1646,1593,922,1081
140,E05000028,2002,Becontree,Barking and Dagenham,11488,3115,1461,1903,1858,1077,815,1259
141,E05000028,2003,Becontree,Barking and Dagenham,11434,3046,1431,1822,1937,1099,831,1268
142,E05000028,2004,Becontree,Barking and Dagenham,11251,2949,1400,1802,1909,1138,816,1237
143,E05000028,2005,Becontree,Barking and Dagenham,11175,2931,1372,1801,1875,1180,796,1220
144,E05000028,2006,Becontree,Barking and Dagenham,11238,2993,1250,1853,1924,1216,789,1213
145,E05000028,2007,Becontree,Barking and Dagenham,11292,3049,1204,1923,1889,1207,830,1190
146,E05000028,2008,Becontree,Barking and Dagenham,11339,3099,1175,1967,1848,1286,829,1135
147,E05000028,2009,Becontree,Barking and Dagenham,11222,3214,1004,1892,1813,1324,853,1122
148,E05000028,2010,Becontree,Barking and Dagenham,11339,3239,1089,1883,1790,1409,822,1107
149,E05000028,2011,Becontree,Barking and Dagenham,11598,3286,1163,1899,1795,1483,883,1089
150,E05000028,2012,Becontree,Barking and Dagenham,12036,3482,1209,1962,1849,1536,918,1080
151,E05000028,2013,Becontree,Barking and Dagenham,12609,3714,1231,2132,1867,1609,948,1108
152,E05000028,2014,Becontree,Barking and Dagenham,13017,3892,1203,2211,1937,1626,1019,1129
153,E05000028,2015,Becontree,Barking and Dagenham,13687,4156,1225,2380,2054,1677,1062,1133
154,E05000029,2002,Chadwell Heath,Barking and Dagenham,9394,2275,810,1326,1300,1019,830,1834
155,E05000029,2003,Chadwell Heath,Barking and Dagenham,9412,2297,828,1296,1333,1009,818,1831
156,E05000029,2004,Chadwell Heath,Barking and Dagenham,9401,2329,849,1297,1328,1003,852,1743
157,E05000029,2005,Chadwell Heath,Barking and Dagenham,9378,2350,814,1293,1352,1011,831,1727
158,E05000029,2006,Chadwell Heath,Barking and Dagenham,9387,2376,821,1250,1347,1044,858,1691
159,E05000029,2007,Chadwell Heath,Barking and Dagenham,9368,2409,801,1281,1319,1060,856,1642
160,E05000029,2008,Chadwell Heath,Barking and Dagenham,9520,2491,828,1316,1337,1087,846,1615
161,E05000029,2009,Chadwell Heath,Barking and Dagenham,9851,2626,849,1420,1389,1120,857,1590
162,E05000029,2010,Chadwell Heath,Barking and Dagenham,9924,2671,865,1442,1373,1159,841,1573
163,E05000029,2011,Chadwell Heath,Barking and Dagenham,10041,2725,887,1438,1391,1173,871,1556
164,E05000029,2012,Chadwell Heath,Barking and Dagenham,10121,2812,884,1397,1372,1226,856,1574
165,E05000029,2013,Chadwell Heath,Barking and Dagenham,10388,2895,876,1459,1406,1303,882,1567
166,E05000029,2014,Chadwell Heath,Barking and Dagenham,10606,2958,884,1540,1428,1323,901,1572
167,E05000029,2015,Chadwell Heath,Barking and Dagenham,10769,3027,861,1598,1433,1357,929,1564
168,E05000030,2002,Eastbrook,Barking and Dagenham,10224,2452,952,1385,1542,1259,1001,1633
169,E05000030,2003,Eastbrook,Barking and Dagenham,10145,2421,972,1370,1523,1216,1034,1609
170,E05000030,2004,Eastbrook,Barking and Dagenham,10177,2393,974,1308,1595,1218,1040,1649
171,E05000030,2005,Eastbrook,Barking and Dagenham,10198,2470,939,1315,1555,1260,1033,1626
172,E05000030,2006,Eastbrook,Barking and Dagenham,10082,2459,966,1236,1522,1246,1017,1636
173,E05000030,2007,Eastbrook,Barking and Dagenham,10049,2511,944,1200,1519,1299,980,1596
174,E05000030,2008,Eastbrook,Barking and Dagenham,10219,2552,969,1283,1487,1339,989,1600
175,E05000030,2009,Eastbrook,Barking and Dagenham,10540,2650,1024,1332,1536,1415,1013,1570
176,E05000030,2010,Eastbrook,Barking and Dagenham,10539,2607,1037,1332,1478,1486,1041,1558
177,E05000030,2011,Eastbrook,Barking and Dagenham,10518,2591,1087,1311,1435,1502,1047,1545
178,E05000030,2012,Eastbrook,Barking and Dagenham,10767,2686,1136,1375,1405,1557,1038,1570
179,E05000030,2013,Eastbrook,Barking and Dagenham,10907,2737,1147,1394,1382,1578,1052,1617
180,E05000030,2014,Eastbrook,Barking and Dagenham,11117,2789,1151,1473,1346,1618,1081,1659
181,E05000030,2015,Eastbrook,Barking and Dagenham,11255,2762,1209,1539,1344,1612,1144,1645
182,E05000031,2002,Eastbury,Barking and Dagenham,10008,2384,870,1633,1444,1202,978,1497
183,E05000031,2003,Eastbury,Barking and Dagenham,10210,2440,904,1662,1561,1211,1015,1417
184,E05000031,2004,Eastbury,Barking and Dagenham,10249,2560,920,1646,1567,1148,1001,1407
185,E05000031,2005,Eastbury,Barking and Dagenham,10325,2662,885,1679,1561,1174,982,1382
186,E05000031,2006,Eastbury,Barking and Dagenham,10452,2769,883,1732,1587,1165,988,1328
187,E05000031,2007,Eastbury,Barking and Dagenham,10598,2923,880,1748,1637,1156,973,1281
188,E05000031,2008,Eastbury,Barking and Dagenham,10764,3121,875,1798,1669,1152,952,1197
189,E05000031,2009,Eastbury,Barking and Dagenham,11056,3259,964,1836,1697,1183,970,1147
190,E05000031,2010,Eastbury,Barking and Dagenham,11455,3373,1015,1918,1816,1251,967,1115
191,E05000031,2011,Eastbury,Barking and Dagenham,11695,3467,1083,1904,1831,1320,971,1119
192,E05000031,2012,Eastbury,Barking and Dagenham,11717,3515,1088,1864,1823,1350,960,1117
193,E05000031,2013,Eastbury,Barking and Dagenham,12111,3677,1082,1929,1864,1434,992,1133
194,E05000031,2014,Eastbury,Barking and Dagenham,12114,3642,1103,1883,1932,1436,980,1138
195,E05000031,2015,Eastbury,Barking and Dagenham,12469,3825,1129,1899,1988,1489,1023,1116
196,E05000032,2002,Gascoigne,Barking and Dagenham,9869,2768,1020,2142,1415,885,628,1011
197,E05000032,2003,Gascoigne,Barking and Dagenham,10018,2864,1002,2128,1464,894,668,998
198,E05000032,2004,Gascoigne,Barking and Dagenham,10093,3016,1016,2085,1511,921,651,893
199,E05000032,2005,Gascoigne,Barking and Dagenham,10435,3167,1059,2140,1606,949,669,845
200,E05000032,2006,Gascoigne,Barking and Dagenham,10745,3326,1063,2230,1677,966,663,820
201,E05000032,2007,Gascoigne,Barking and Dagenham,10940,3457,1042,2258,1745,973,670,795
202,E05000032,2008,Gascoigne,Barking and Dagenham,11232,3631,1005,2290,1795,1013,708,790
203,E05000032,2009,Gascoigne,Barking and Dagenham,11345,3782,1005,2238,1800,1056,696,768
204,E05000032,2010,Gascoigne,Barking and Dagenham,12125,4066,1079,2436,1948,1144,690,762
205,E05000032,2011,Gascoigne,Barking and Dagenham,12590,4238,1144,2517,2055,1185,695,756
206,E05000032,2012,Gascoigne,Barking and Dagenham,12804,4367,1119,2543,2109,1222,693,751
207,E05000032,2013,Gascoigne,Barking and Dagenham,12752,4418,1024,2499,2156,1220,703,732
208,E05000032,2014,Gascoigne,Barking and Dagenham,12551,4391,972,2436,2148,1214,690,700
209,E05000032,2015,Gascoigne,Barking and Dagenham,12647,4440,946,2411,2148,1271,753,678
210,E05000033,2002,Goresbrook,Barking and Dagenham,10337,2831,861,1666,1594,1277,783,1325
211,E05000033,2003,Goresbrook,Barking and Dagenham,10208,2809,809,1554,1636,1247,839,1314
212,E05000033,2004,Goresbrook,Barking and Dagenham,10081,2761,842,1504,1636,1205,872,1261
213,E05000033,2005,Goresbrook,Barking and Dagenham,10061,2817,789,1507,1639,1179,912,1218
214,E05000033,2006,Goresbrook,Barking and Dagenham,10087,2820,814,1498,1668,1174,940,1173
215,E05000033,2007,Goresbrook,Barking and Dagenham,10234,2963,814,1547,1648,1172,931,1159
216,E05000033,2008,Goresbrook,Barking and Dagenham,10583,3070,858,1607,1684,1201,973,1190
217,E05000033,2009,Goresbrook,Barking and Dagenham,10879,3143,899,1674,1753,1247,1014,1149
218,E05000033,2010,Goresbrook,Barking and Dagenham,11181,3284,922,1713,1822,1294,1012,1134
219,E05000033,2011,Goresbrook,Barking and Dagenham,11332,3376,941,1705,1808,1332,1024,1146
220,E05000033,2012,Goresbrook,Barking and Dagenham,11421,3348,973,1702,1809,1383,1007,1199
221,E05000033,2013,Goresbrook,Barking and Dagenham,11674,3441,989,1735,1821,1463,1015,1210
222,E05000033,2014,Goresbrook,Barking and Dagenham,11826,3482,1019,1752,1810,1460,1048,1255
223,E05000033,2015,Goresbrook,Barking and Dagenham,11982,3507,1028,1767,1858,1493,1094,1235
224,E05000034,2002,Heath,Barking and Dagenham,9717,2619,886,1349,1412,965,799,1687
225,E05000034,2003,Heath,Barking and Dagenham,9652,2634,859,1305,1502,960,823,1569
226,E05000034,2004,Heath,Barking and Dagenham,9683,2618,872,1343,1490,973,806,1581
227,E05000034,2005,Heath,Barking and Dagenham,9739,2678,886,1345,1504,999,804,1523
228,E05000034,2006,Heath,Barking and Dagenham,9918,2771,916,1386,1523,1056,801,1465
229,E05000034,2007,Heath,Barking and Dagenham,9926,2839,908,1372,1504,1132,783,1388
230,E05000034,2008,Heath,Barking and Dagenham,10139,2910,939,1425,1483,1172,770,1440
231,E05000034,2009,Heath,Barking and Dagenham,10451,3028,969,1508,1498,1220,815,1413
232,E05000034,2010,Heath,Barking and Dagenham,10602,3098,947,1525,1546,1261,825,1400
233,E05000034,2011,Heath,Barking and Dagenham,10820,3159,1050,1558,1558,1311,835,1349
234,E05000034,2012,Heath,Barking and Dagenham,11006,3268,1042,1597,1564,1346,842,1347
235,E05000034,2013,Heath,Barking and Dagenham,11202,3308,1038,1625,1612,1415,864,1340
236,E05000034,2014,Heath,Barking and Dagenham,11382,3391,1013,1671,1633,1440,893,1341
237,E05000034,2015,Heath,Barking and Dagenham,11398,3340,1002,1662,1639,1477,938,1340
238,E05000035,2002,Longbridge,Barking and Dagenham,9141,2036,849,1155,1350,1206,1003,1542
239,E05000035,2003,Longbridge,Barking and Dagenham,9292,2123,903,1157,1375,1207,1030,1497
240,E05000035,2004,Longbridge,Barking and Dagenham,9364,2163,966,1189,1375,1251,981,1439
241,E05000035,2005,Longbridge,Barking and Dagenham,9429,2181,985,1266,1372,1259,949,1417
242,E05000035,2006,Longbridge,Barking and Dagenham,9544,2264,1022,1329,1345,1260,976,1348
243,E05000035,2007,Longbridge,Barking and Dagenham,9852,2442,1057,1429,1340,1321,924,1339
244,E05000035,2008,Longbridge,Barking and Dagenham,10155,2566,1132,1525,1294,1383,921,1334
245,E05000035,2009,Longbridge,Barking and Dagenham,10721,2708,1215,1658,1388,1452,942,1358
246,E05000035,2010,Longbridge,Barking and Dagenham,11184,2903,1257,1763,1469,1460,974,1358
247,E05000035,2011,Longbridge,Barking and Dagenham,11567,3026,1308,1880,1535,1466,1014,1338
248,E05000035,2012,Longbridge,Barking and Dagenham,11651,3060,1297,1905,1531,1499,999,1360
249,E05000035,2013,Longbridge,Barking and Dagenham,12023,3228,1278,2012,1620,1496,1033,1356
250,E05000035,2014,Longbridge,Barking and Dagenham,12340,3235,1379,2145,1663,1488,1099,1331
251,E05000035,2015,Longbridge,Barking and Dagenham,12425,3230,1350,2199,1712,1470,1133,1331
252,E05000036,2002,Mayesbrook,Barking and Dagenham,9437,2406,759,1423,1426,1024,870,1529
253,E05000036,2003,Mayesbrook,Barking and Dagenham,9308,2413,782,1375,1406,1001,860,1471
254,E05000036,2004,Mayesbrook,Barking and Dagenham,9169,2374,759,1362,1411,988,882,1393
255,E05000036,2005,Mayesbrook,Barking and Dagenham,9342,2512,756,1398,1460,1010,869,1337
256,E05000036,2006,Mayesbrook,Barking and Dagenham,9322,2555,737,1393,1501,1007,836,1293
257,E05000036,2007,Mayesbrook,Barking and Dagenham,9336,2696,734,1364,1479,1021,825,1217
258,E05000036,2008,Mayesbrook,Barking and Dagenham,9612,2857,742,1427,1501,1089,813,1183
259,E05000036,2009,Mayesbrook,Barking and Dagenham,9951,2969,817,1486,1561,1151,828,1139
260,E05000036,2010,Mayesbrook,Barking and Dagenham,10102,3009,854,1485,1604,1192,835,1123
261,E05000036,2011,Mayesbrook,Barking and Dagenham,10385,3117,941,1518,1631,1237,825,1116
262,E05000036,2012,Mayesbrook,Barking and Dagenham,10568,3250,940,1509,1635,1279,822,1133
263,E05000036,2013,Mayesbrook,Barking and Dagenham,10664,3293,957,1535,1601,1319,833,1126
264,E05000036,2014,Mayesbrook,Barking and Dagenham,10773,3326,968,1552,1630,1304,848,1145
265,E05000036,2015,Mayesbrook,Barking and Dagenham,10804,3343,967,1536,1597,1344,885,1132
266,E05000037,2002,Parsloes,Barking and Dagenham,9056,2342,689,1345,1422,1020,816,1422
267,E05000037,2003,Parsloes,Barking and Dagenham,9050,2381,724,1312,1412,1000,808,1413
268,E05000037,2004,Parsloes,Barking and Dagenham,9049,2392,778,1313,1463,1006,761,1336
269,E05000037,2005,Parsloes,Barking and Dagenham,9208,2464,741,1381,1517,1051,753,1301
270,E05000037,2006,Parsloes,Barking and Dagenham,9119,2486,724,1349,1489,1084,746,1241
271,E05000037,2007,Parsloes,Barking and Dagenham,9178,2557,732,1360,1507,1090,736,1196
272,E05000037,2008,Parsloes,Barking and Dagenham,9259,2652,753,1370,1484,1140,704,1156
273,E05000037,2009,Parsloes,Barking and Dagenham,9620,2769,831,1403,1553,1185,734,1145
274,E05000037,2010,Parsloes,Barking and Dagenham,9744,2829,857,1409,1516,1259,757,1117
275,E05000037,2011,Parsloes,Barking and Dagenham,9886,2872,922,1358,1527,1305,790,1112
276,E05000037,2012,Parsloes,Barking and Dagenham,9954,2889,916,1340,1540,1352,825,1092
277,E05000037,2013,Parsloes,Barking and Dagenham,10138,2988,887,1381,1566,1394,863,1059
278,E05000037,2014,Parsloes,Barking and Dagenham,10196,3046,895,1333,1579,1426,878,1039
279,E05000037,2015,Parsloes,Barking and Dagenham,10318,3063,907,1322,1619,1443,909,1055
280,E05000038,2002,River,Barking and Dagenham,10367,2821,870,1499,1804,1264,828,1281
281,E05000038,2003,River,Barking and Dagenham,10259,2690,935,1458,1824,1245,866,1241
282,E05000038,2004,River,Barking and Dagenham,10263,2717,978,1460,1805,1220,863,1220
283,E05000038,2005,River,Barking and Dagenham,10158,2764,948,1432,1728,1222,895,1169
284,E05000038,2006,River,Barking and Dagenham,9996,2716,956,1407,1665,1261,879,1112
285,E05000038,2007,River,Barking and Dagenham,10081,2784,944,1414,1645,1278,900,1116
286,E05000038,2008,River,Barking and Dagenham,10195,2938,929,1428,1667,1287,887,1059
287,E05000038,2009,River,Barking and Dagenham,10502,3046,971,1480,1674,1355,901,1075
288,E05000038,2010,River,Barking and Dagenham,10710,3155,1013,1534,1635,1374,917,1082
289,E05000038,2011,River,Barking and Dagenham,10975,3267,1024,1555,1615,1443,959,1112
290,E05000038,2012,River,Barking and Dagenham,11188,3376,1044,1586,1639,1446,979,1118
291,E05000038,2013,River,Barking and Dagenham,11335,3428,1048,1618,1639,1495,991,1116
292,E05000038,2014,River,Barking and Dagenham,11610,3655,1002,1638,1667,1520,1010,1118
293,E05000038,2015,River,Barking and Dagenham,11539,3578,998,1624,1661,1504,1038,1136
294,E05000039,2002,Thames,Barking and Dagenham,8971,2350,955,1840,1342,845,556,1083
295,E05000039,2003,Thames,Barking and Dagenham,9241,2518,949,1899,1465,839,555,1016
296,E05000039,2004,Thames,Barking and Dagenham,9445,2597,973,1906,1568,861,573,967
297,E05000039,2005,Thames,Barking and Dagenham,9632,2750,1005,1899,1597,900,560,921
298,E05000039,2006,Thames,Barking and Dagenham,9875,2863,994,1918,1669,946,583,902
299,E05000039,2007,Thames,Barking and Dagenham,9920,2972,952,1922,1684,961,580,849
300,E05000039,2008,Thames,Barking and Dagenham,9903,3031,950,1899,1672,973,601,777
301,E05000039,2009,Thames,Barking and Dagenham,10209,3194,1008,1938,1672,1027,589,781
302,E05000039,2010,Thames,Barking and Dagenham,10512,3360,967,1962,1747,1096,611,769
303,E05000039,2011,Thames,Barking and Dagenham,10805,3545,1012,1953,1793,1155,612,735
304,E05000039,2012,Thames,Barking and Dagenham,11120,3794,987,1956,1853,1182,633,715
305,E05000039,2013,Thames,Barking and Dagenham,11719,4100,1003,2004,1981,1257,659,715
306,E05000039,2014,Thames,Barking and Dagenham,12476,4441,1073,2097,2110,1347,682,726
307,E05000039,2015,Thames,Barking and Dagenham,13935,5096,1162,2370,2333,1497,748,729
308,E05000040,2002,Valence,Barking and Dagenham,8826,2202,665,1394,1308,975,764,1518
309,E05000040,2003,Valence,Barking and Dagenham,8868,2189,727,1358,1331,963,780,1520
310,E05000040,2004,Valence,Barking and Dagenham,8778,2213,726,1326,1336,995,777,1405
311,E05000040,2005,Valence,Barking and Dagenham,8672,2229,667,1310,1365,1006,758,1337
312,E05000040,2006,Valence,Barking and Dagenham,8850,2302,670,1356,1409,1031,780,1302
313,E05000040,2007,Valence,Barking and Dagenham,8946,2433,666,1361,1401,1077,754,1254
314,E05000040,2008,Valence,Barking and Dagenham,9129,2502,704,1419,1410,1156,747,1191
